analytical_customer_id,is_gold,amt_total,afford_amt_total,order_count
1LAcaOQKu-TMK7jNQZsZQ_hg,False,205.0,0.0,5
1LEEckyiDwRdiKzjyYfiTVpw,False,9976.09,39.298,60
1LO7zS9iz4QZiXXY9NyGJ5BA,False,28723.41,2309.042,171
1LSjT5zGFdRLGEbTzd0fJnmA,False,810.97,0.0,10
1LcD5WmCzwR7Cu3bmElH7AWQ,False,101.46,0.0,2
1LkLwE76UpTj6pCs7dciGdcA,False,281.55,188.57999999999998,3
1MJDiupGiaTLGS7RpM_BE_7Q,False,1328.0,105.0,19
1MTSWPdqCKSmqssUdcBDvcBQ,False,2969.65,15.0,14
1MYid1k-8VTT-4IwkfhqOzkA,False,120.0,0.0,1
1Msprp7WJKSoWjVj72psfMVg,False,152.5,107.5,2
1N13KZge9RSXePGIguJxEGoQ,False,210.0,100.0,2
1NcEglom-4R9mJisoagxcZzQ,True,391.1,50.0,2
1NesADX2NqQd2Q3YXUXddyJA,False,1710.31,120.0,5
1NvSH5Ze26Q3e1ADZm18xhuQ,False,227.34,0.0,1
1OqP8XT2k3Rm22x5TujVxESA,False,2376.0,75.598,26
1Pe3ynWSPwRdSDhdWHMAtlEA,False,170.2,0.0,2
1PgqA87yULRLyDV677St0AWg,False,5983.5,132.0,56
1PqeWMkW3wRJW4Jpk3jHCQJQ,False,479.9,12.25,8
1PsUVB5ic4Q3iYQy5uKGkY1Q,False,126.0,72.0,1
1PzG60GS0xTnSk1lGsUELDyA,False,2244.35,0.0,9
1QGyYXJ2t0QX2nYkJ82AA_dQ,False,375.7,113.0,1
1QMEHi_GCJRYGKCd_lc6Qt7g,False,135.0,0.0,1
1QQScoTC7RQeCGw-TIfYoZjg,False,584.0,0.0,2
1R1DvxxWATQ8WrAlxG3ySP6g,False,752.4052,60.870000000000005,7
1RAQkZla0cTJajt7lEo6opAg,False,88.0,62.0,1
1RIobmTOJrTJOwaqTE4lvKmg,False,215.0,0.0,1
1RQo-xAuaJQguhOTAgcyp1ew,False,11960.94,139.33,71
1RuS9pba5zSDa41Zb3AaF__A,False,130.0,40.0,1
1RzFEnRGwJRvG0upRX517ngQ,False,102.0,0.0,1
1S55l5BKoOT7KnLyBm_aa3mg,False,262.0,0.0,1
1SO10e9q7FR2qv_Y9xyLUUZQ,False,144.0,70.0,1
1SSI54CmQRTOmBhxCBmDt0nQ,False,1457.28,38.298,8
1SVyDl7WPkQGWf5g760cA-Sw,False,201.48,0.0,1
1S_aVRjG-OTvG8JLjkBDHp4A,False,333.0,0.0,1
1Sz1fGgK8lQCKsWLgtwaBRAg,False,112.75,40.0,1
1T1mhHZStqShSNd2ZwN23hRw,True,810.1800000000001,177.0,6
1TVcZIEakbScamiTE5fgBU-Q,False,111.72,63.58,1
1TX4FNVmBCQkmo0nV6CdIY3g,False,90.0,40.0,1
1TYboXD2iuSL2nMDDcsmF1mw,False,44.0,0.0,1
1Ta-CJbSHdTGSb1Wbsw3CA7w,False,981.8,5.0,9
1TllvL9qZWQvqSvf94JlN3ig,False,20340.85,822.576,122
1UaO8PQKWyTUKaHLQO4-oZ1A,False,188.0,0.0,1
1X-UCmoK5USCKm3dogncp6FQ,False,502.28999999999996,19.546,9
1X-sORjmAdQBmEg4jjwfkG5Q,False,209.85,40.0,2
1XDkDlEqbnRpqlxDEZGtQ_YA,False,1232.26,0.0,5
1XImJWUu1sQ2uYEVUDORKROA,False,122.85,89.5,1
1Xgeg0_uPCR-undW_4KvzkDw,False,734.97,328.998,4
1YUy2wIuAyT6uYB_IaIRX-nQ,False,110.0,0.0,1
1YtwXgzOg7Q0OU0pz3AC44nQ,False,64.0,12.8,1
1Z02nIL2UnRR2omwLfinIIRw,False,401.78,75.0,2
1ZQk52Z6PZQZ6bPBZ6n-frLw,True,1551.0,275.0,20
1ZTgAcrKvQTwKYl2rzAhyJaA,True,1252.83,372.92,9
1ZfCoVY-sDRf-cKlYffCIQFQ,False,3224.2599999999998,232.528,23
1_hT29_OZ4QrOhYI_UDatDcw,False,283.0,0.0,1
1aZoFqaSx2QLSEwIaT_1849w,False,797.46,231.0,5
1bd2p7HmanTIm4tiHbcokKTA,False,533.6320000000001,106.0,5
1beIVVeGGASQGV_AeWLfUNxw,False,603.49,172.898,6
1c2FrOvWfxSpWMmDvLPYJi0w,False,104.0,70.0,1
1ciPlUSmOPREmnx6SVpV8I2g,False,824.3,305.0,10
1ctCdJSOaYScOk6LSYFHLNnQ,False,540.55,115.0,6
1d-CaCdyRpQcynx1dDuWaIGw,True,13242.828300000001,826.802,127
1dEWNW9iJMQcioJ79wdU_Npw,False,1077.1144,0.0,5
1dvijniWI7T9WUcAiHDUaLpw,False,846.97,162.0,11
1e5dLPe2CLRl2pOFevhjqvaw,True,631.72,141.4,5
1eeUiHG-4TTW-9kLGy5Y66iw,False,186.96,150.0,1
1f5cJI0W29QsWg9L0cuVrjRw,False,725.5272,50.0,8
1fPtnXWiOSTUixSzWsxZMnHg,False,1040.26,0.0,13
1fVoFD8yhrRFyOiD89rxp8kw,False,1831.56,73.1,13
1fw0PTf2FPQ72_9afm1KlnIQ,True,1887.8042,311.65484000000004,14
1g28YccCP3TACJE6c-UuM59w,False,169.98,35.994,1
1g7WJBpWpXSjWjHjp5FZ-o-Q,False,318.06,150.0,2
1gH4xfmCBSRxCYY5mTLHGYOA,False,409.6,162.0,5
1gMSifkmQARamtnUkqoO9yEw,False,444.5,74.0,8
1gNDf0LGs0TXG-QSLgguJhew,False,1089.0,46.0,12
1gij9f5uTNTguh4m5UpUsHpw,False,1550.89,150.02,20
1gtuqphmTiSOmNgEhwDB9rAg,False,1132.46,92.0,10
1h-OJEla7gSBa_NnlgB85Juw,False,1237.48,356.0,3
1h4VLECO1HROO4aDCxRWFBSg,False,2956.98,183.03199999999998,20
1hNWR9luNVTkuWMQlZxcBsQQ,False,364.01,0.0,4
1hQrvZzOk4RVOyOXz_F93l1A,False,200.0,100.0,2
1hc-5pY-12S3-E7SYh2yMHag,False,413.82,40.0,1
1hu1WVkac4QOa-h6k1mbXN7g,False,420.13,103.92,3
1i6BHA1-BvSg-47X1Bw3gY8Q,False,1060.65,259.0,12
1iokpttSiBQnSb01tJE4ng3g,True,5868.3099999999995,208.5,35
1ixMkQNmOWT2mMCMNtDsT31g,False,7904.28,15.0,91
1jM_aQeKtCSlKUQLenFbp7IA,False,845.98,0.0,6
1k-9jSeSgLQ3SuvEeTo2zHJA,False,236.0,0.0,1
1k-jvpQO3sSzOxRuQ7LEOwZA,False,118.5,0.0,1
1kC5mmOaB7Sua0-rOs9Uia6Q,False,315.0,91.0,5
1kgDhGXCplT4CgB6XxkwSjDg,False,687.0,165.0,5
1l_fK6vebhSge6puveYpWv6A,False,358.24,0.0,2
1luBBDeGoPQkGE6Je-8BnL1w,False,196.0,0.0,1
1lv6DW5KzLQZKqqi5k0SEAhQ,False,51.3,0.0,1
1mXyXy-WUXQjWFMm-kt06g5A,False,45.0,0.0,1
1muh_-oO8DRKOxL9onN1j6Xg,False,273.0,80.0,2
1my_VavG56ReGqlpvVhS15vg,False,195.0,73.0,1
1n7tE_CmIHQrm_GBCka3y_KQ,False,127.0,60.0,1
1ndY_M8qbeSsqiLB8qQVsuMA,False,168.0,0.0,1
1nmxa0j-8DTs-YtRjCaNs6qg,False,156.0,70.0,1
1nyyKLDWo7SLWguTDGMRVAvw,False,84.0,0.0,2
1o2I8kaONiSJOrbzaDV0ww1g,False,349.3,40.0,3
1oeeojmuPCQ0ul3nmK1xBfLA,False,153.0,0.0,3
1ohB7HyuBzQAuDFDyv3ZYAkg,False,849.64,431.0,7
1ojym-le7yS2eAMLlKlW1jNw,False,46.17,0.0,1
1onkvNACJvRCCjzYAr6NHFYw,False,379.43,230.39999999999998,4
1p6bpeyu6RSquffCyjVkRhNA,False,2914.6440000000002,42.0,20
1pMujAeavNSHaNebe1ri7Dxg,False,671.6600000000001,6.0,3
1pO0n1ey7vRmytaDeXCT-4Rg,False,1517.79,23.398,12
1q10UvGq8DRIqCG_GoYAVUyQ,False,194.0,0.0,4
1q12nZv6yuQD6HL9vb960cdw,True,2084.44,517.0,10
1qFFDifSBDSwSoBgfNZXuzMQ,False,124.0,0.0,1
1qn6tlJWV7SDWDJBJglpA1ZA,False,6272.53,48.798,21
1qqu5xqqphQqqd37qWbz0f0w,False,3464.03,112.96000000000001,29
1r0GEF6yYlRfyn3S6LmvofHQ,False,76.0,0.0,1
1r1C08FS54SmSuvnFvpRuveA,False,124.99,0.0,1
